YEAR,WATER SPREADING,INJECTION,PUMPING,RECHARGE,SPECIFIC STORAGE,SPECIFIC YIELD,DRAINS,GHB OCEAN,GHB OC,GHB WHT,GHB LAN,Los Angeles Forebay_to_Hollywood,Los Angeles Forebay_to_WRD Los Angeles Forebay,Los Angeles Forebay_to_Central Basin,WRD Central Basin_to_Orange County,WRD Central Basin_to_West Coast,WRD Central Basin_to_Santa Monica,WRD Central Basin_to_WRD Los Angeles Forebay,WRD Central Basin_to_Montebello Forebay,WRD Central Basin_to_Whitter,WRD Central Basin_to_Central Basin,WRD Central Basin_to_North Orange County,WRD Central Basin_to_South Orange County,Orange County_to_North Orange County,Orange County_to_South Orange County,Santa Monica Bay_to_West Coast,Santa Monica Bay_to_Santa Monica,San Pedro Bay_to_West Coast,San Pedro Bay_to_South Orange County,West Coast_to_Santa Monica,West Coast_to_South Orange County,Santa Monica_to_Hollywood,Santa Monica_to_Central Basin,Hollywood_to_Central Basin,WRD Los Angeles Forebay_to_Montebello Forebay,Montebello Forebay_to_Whitter,Whitter_to_North Orange County
1981,126359.32394947723,0.0,-285864.19581315585,26833.433805142322,-376.1512031153316,32053.443050021477,-5305.887515715665,6334.5659762376945,55573.75049167931,39201.31846282528,5190.618705139324,3.9105332027917887,-8118.061102888466,399.57179819679135,3522.435841487315,-6566.915707025239,-1.1641163224500435,-7956.804673543732,124066.33570011791,4461.844905833918,2195.893242679638,769.9530747632946,4195.329154059995,468.8904281694937,-229.2286657594957,-273.71090196610885,268.9307205715151,-6503.38569105118,168.86568200558548,2533.5843303104434,333.2628051488797,461.6851241494858,-309.70724540268515,-543.4270838040748,3122.7755310420416,1685.1017386884482,2918.777299852075
1982,127488.32687557334,0.0,-285829.3219876358,34388.86314445914,1473.4167066830878,27400.158997720937,-3947.200809890207,6974.353545171408,43981.72014936143,42831.69188274304,5238.161904291684,11.366850069294593,-7742.941864648734,302.1973738617096,-5356.206024476212,-5972.37470704059,0.4620785789668903,-6080.392825035202,121181.54627763969,4384.606221901426,2552.44470733388,658.0383544912693,2236.794114430766,422.6590435789296,2002.1842793754702,-318.1691169076398,194.42144037966696,-6645.472616428485,-370.16893602382817,2553.73221687972,251.46737251802392,570.099062276316,-332.6612312765928,-597.9274441465934,3046.021388995972,1307.7507672675847,3096.1097721717692
1983,144768.37121483104,0.0,-257324.9377925042,159707.98618148902,-9136.824114653966,-131413.30298057196,-7066.475855480087,6306.973084793559,49568.69820737823,39635.01569524003,4954.524098437729,-1.6124898980611384,-9694.38123765152,-1049.5432625740516,-4173.865614701638,-6158.523495495538,-2.9835300940618916,-6583.513479658035,130752.08560890665,4363.219816492876,2770.1741760532695,627.6855557272002,3501.3235638452725,455.1912731218838,655.0217677963176,-176.84402587259765,248.42949138775634,-5836.998515584583,0.8458382632084067,2101.57059070769,221.84230445286047,655.9248008060652,-247.598411355525,-605.2769608205878,3414.530258405849,-1008.9377142318192,2663.2863983608613
1984,103133.26441323606,0.0,-280526.64567770076,36074.46183348056,1841.550526770723,38870.96580239813,-4930.7204798126695,5642.380097750361,53741.32438409531,40964.991866457916,5188.5326450631965,10.922936027560748,-8404.208506824489,-61.230739682665025,-1447.547245172991,-5660.013398314577,-1.3812937128593321,-4365.231084459763,118180.64821126075,4137.971837068151,2927.4792159333483,769.2187922941745,2430.5014352191615,406.3154853352612,-220.04294898738615,-180.88844749815615,192.70961942183044,-5462.773442019241,129.75651580739287,1892.941261381373,251.45552282947637,659.7984546628826,-259.8650087957433,-602.8769763663803,2779.346623488128,2216.7207463760233,3242.648157075293
1985,87956.22555245807,0.0,-264784.7372588147,30835.824787530662,-1218.2381308772995,40020.9902612225,-3880.6329674480544,5273.493258476644,56327.86370578116,44256.23808458065,5213.148522713299,16.34158632446251,-7127.2077064415425,-4.625996591856264,475.28192131250387,-5671.488291800675,0.3310994270219909,-4355.777867125369,110301.32262958658,3949.4609378298755,2548.73487330634,733.5221331007699,3601.053840469007,371.5284486589956,-879.1737826163194,-179.17235340097892,169.89857628307772,-5250.070593192153,260.1469251674634,1637.6198814545742,262.80657756750225,753.151344978312,-240.3387195262029,-613.2417628758701,2382.8223322134463,2696.415887780692,3119.021768871293
1986,133501.3423242789,0.0,-270899.71187729016,70255.90367362012,-1114.2153363526438,-28576.15472617313,-4954.591956808075,4850.807470348039,51615.6798280526,40200.99618223761,5120.321807345547,12.860894913966764,-8254.409661254256,-289.18235146680667,-894.6960274376827,-5586.4247438048915,0.35217962576246387,-4241.343588587937,115600.02066948012,3796.168937638323,3080.003733946154,746.9333510281613,3872.236123894446,368.5086115794778,-191.2943514617931,-155.26216995914524,127.59804964850261,-4406.456934902714,214.10571683552553,1693.7851210232288,258.59309588275204,800.2641945941657,-261.2456225145246,-653.7863742846266,2547.757521707976,14.582219102935127,3321.845216953935
1987,114849.29445827843,0.0,-266190.46676616283,15410.719510563518,2868.235515968532,47351.514492519455,-2972.618697236846,5202.135514700426,41074.582144025626,37094.350302887455,5312.497894038436,20.84239512507063,-7367.71636426453,75.20102585553319,-5653.141985283225,-4867.426600386876,2.595382870386755,-3734.6206630506317,114841.65487213375,3896.5438661334174,2945.6897681443943,832.6372120097606,2566.345760296936,365.07868589229815,3734.012443875162,-134.05090935821895,147.14964607128152,-4972.0688118222415,-337.5151144551315,1663.259497383885,199.55664637501388,848.2039573832978,-291.8729071463555,-669.8663708627905,2453.1718339889976,1039.6275893105064,3398.683967510861
1988,106811.27385903188,0.0,-263090.4925028008,23839.968607721672,1527.868692801797,42672.56403513002,-2076.680895527464,5331.054838783641,38904.54164731337,40738.00551094962,5342.166460794166,18.349715812700357,-7217.663456213083,18.12241951747072,-6759.067279731915,-3524.5269502286474,2.9593512768723857,-2009.5819414596804,114429.83769334237,3784.1060455812076,2673.2080250009067,903.9802413880587,2624.1667373505957,363.8696361513487,2776.5282415961324,-97.61292091436232,138.84560585148435,-4580.175933014874,-503.4495154656202,1434.3066979505822,190.02519237711158,875.0744309618162,-273.25470662023827,-661.9646419053666,2278.2441128457376,1162.3137633814204,3518.0798827680046
1989,109749.28138212157,0.0,-269474.43429461116,22265.65595460289,2421.9037322279087,40526.40995308723,-1579.5115589269103,5466.970340875285,42125.90494477866,43144.96241247751,5353.107725824332,17.982041088260285,-7334.461018510365,174.39894277515083,-6209.019400249311,-4040.649761727333,2.2321653799396093,-3093.296826010919,115805.54023442241,3764.6635567678386,2287.338545493112,839.1852874387496,2422.8591841446005,352.0724129345669,2399.340967933994,-132.14663543548764,99.82079478951243,-4819.858239744082,-647.0563473945766,1554.0096749148988,196.27376912396556,892.687451987177,-249.49189961585543,-654.4477142861476,2196.892508261312,913.9532709092452,3486.498077677285
1990,126608.32456097573,0.0,-258968.90576843097,7116.9710911998445,324.59014448705557,33555.13946371729,-1229.569159127681,5795.84450914997,44270.97476367558,37180.84473265748,5345.87832887661,19.97503364019989,-6238.2035147755705,114.27634073063668,-3494.9856530949805,-4833.1296836943175,1.278822510308864,-4677.195265659282,116550.56277567879,3629.5098983216176,2028.8052319892095,884.8283474427251,2302.366885168564,336.31441053762273,2923.8050286856724,-139.18437004428932,85.74485932222811,-5321.658530088757,-515.440316151297,1542.1280330358443,221.22250712547336,934.0072864151084,-218.193151002224,-646.192064977425,2376.246215130596,-269.23110286177814,3506.3675553573726
