x,y
396735.2925,3758084.79
396692.7211,3758049.22
396686.7287,3758044.355
396644.5992,3758016.938
396595.877,3757984.992
396547.301,3757952.9
396499.7827,3757921.201
396497.1675,3757919.448
396485.5698,3757911.889
396457.0527,3757896.862
396414.8776,3757874.301
396373.3425,3757851.679
396332.4109,3757828.98
396292.287,3757806.395
396284.414,3757801.917
396253.8395,3757787.619
396216.3949,3757769.834
396179.6665,3757752.079
396143.5751,3757734.334
396111.4736,3757718.289
396107.4563,3757716.244
396083.2552,3757703.845
396074.5928,3757700.169
396042.3236,3757686.361
396010.0331,3757672.319
395977.7547,3757658.033
395945.8879,3757643.942
395914.3624,3757629.733
395883.2515,3757615.422
395882.0963,3757614.886
395853.0092,3757603.681
395823.2547,3757591.977
395793.7196,3757580.465
395764.4374,3757568.763
395735.4875,3757556.913
395706.9095,3757544.949
395680.9405,3757533.852
395678.7642,3757533.062
395651.3871,3757522.556
395637.4242,3757517.133
395625.1438,3757512.116
395600.0313,3757501.744
395575.1414,3757491.292
395550.4617,3757480.74
395524.5354,3757469.298
395497.585,3757457.411
395479.7816,3757449.556
395469.8391,3757445.755
395441.4439,3757434.941
395412.5367,3757423.837
395384.4524,3757412.819
395356.6851,3757401.623
395329.2348,3757390.26
395302.0802,3757378.733
395278.6228,3757368.553
395275.1725,3757367.248
395247.8045,3757357.141
395220.1957,3757346.717
395192.5259,3757336.04
395164.8745,3757325.186
395141.7219,3757315.975
395137.1346,3757314.158
395108.2548,3757302.944
395079.6372,3757291.877
395077.467,3757291.039
395050.2697,3757282.056
395021.1186,3757272.318
394992.2327,3757262.525
394963.8101,3757252.872
394936.052,3757243.396
394908.8608,3757234.041
394882.1542,3757224.748
394876.3081,3757222.697
394854.9843,3757215.64
394828.9971,3757206.222
394803.2079,3757196.487
394777.6413,3757186.535
394752.3368,3757176.446
394727.3097,3757166.266
394702.0265,3757155.668
394676.3563,3757144.695
394675.1493,3757144.174
394649.4394,3757133.332
394622.3884,3757121.722
394606.5175,3757114.819
394595.2856,3757109.652
394567.9481,3757096.689
394540.958,3757083.821
394514.2454,3757071.01
394487.7704,3757058.196
394473.9935,3757051.478
394461.1279,3757045.541
394433.7477,3757033.562
394406.4925,3757021.806
394379.2921,3757010.175
394352.107,3756998.574
394324.9371,3756986.943
394298.7914,3756975.684
394273.0998,3756964.217
394272.8346,3756964.095
394247.4478,3756952.921
394222.1433,3756941.54
394197.165,3756930.104
394172.656,3756918.68
394162.1008,3756913.66
394148.5981,3756907.131
394124.8999,3756895.472
394101.3084,3756883.707
394077.848,3756871.887
394071.6758,3756868.845
394054.2656,3756860.582
394030.8722,3756849.545
394007.4971,3756838.56
393984.1494,3756827.594
393960.82,3756816.624
393937.8655,3756805.529
393915.3926,3756794.69
393893.2611,3756784.074
393871.3734,3756773.604
393870.5199,3756773.199
393851.3023,3756764.363
393832.0359,3756755.435
393812.864,3756746.358
393793.7804,3756737.15
393774.7975,3756727.86
393755.9273,3756718.53
393743.4641,3756712.501
393737.1456,3756709.447
393718.7234,3756700.446
393700.0514,3756691.202
393681.2056,3756681.777
393669.3611,3756675.809
393663.1889,3756672.682
393646.4828,3756663.873
393630.0449,3756655.254
393613.8052,3756646.795
393597.6904,3756638.444
393581.6671,3756630.153
393565.5919,3756621.558
393549.6265,3756613.014
393533.7464,3756604.544
393517.9273,3756596.116
393502.1478,3756587.713
393486.6518,3756580.035
393471.1405,3756572.284
393468.2053,3756570.796
393456.9033,3756564.899
393442.9739,3756557.538
393429.0659,3756550.125
393414.8775,3756542.843
393400.5275,3756535.437
393386.1104,3756527.951
393371.6721,3756520.419
393357.2337,3756512.863
393354.4539,3756511.345
393343.2982,3756505.249
393329.5609,3756497.745
393315.8175,3756490.253
393302.0375,3756482.749
393288.2117,3756475.211
393274.3952,3756467.408
393267.0464,3756463.321
393261.1699,3756459.907
393248.603,3756452.729
393236.0086,3756445.612
393223.3869,3756438.525
393210.8931,3756431.713
393198.3933,3756424.925
393185.9148,3756418.156
393173.4728,3756411.407
393161.0705,3756404.68
393148.6072,3756398.405
393136.0038,3756391.879
393123.3302,3756385.118
393110.6322,3756378.199
393097.9403,3756371.18
393085.3643,3756363.682
393073.1235,3756356.565
393065.8876,3756352.487
393061.6356,3756349.951
393051.0682,3756343.812
393040.5617,3756337.816
393030.4729,3756332.162
393020.6309,3756326.676
393010.9748,3756321.324
393001.462,3756316.075
392992.0681,3756310.918
392990.6507,3756310.186
392982.4486,3756305.925
392972.5395,3756300.701
392962.4171,3756295.276
392952.1575,3756289.71
392941.7943,3756284.05
392931.3946,3756278.524
392920.9978,3756272.87
392910.6255,3756267.088
392900.2928,3756261.229
392890.0088,3756255.332
392879.6456,3756248.815
392869.38,3756242.435
392864.7318,3756239.595
